"","LearningPlatformUsefulnessArxiv","LearningPlatformUsefulnessBlogs","LearningPlatformUsefulnessCollege","LearningPlatformUsefulnessCompany","LearningPlatformUsefulnessConferences","LearningPlatformUsefulnessFriends","LearningPlatformUsefulnessKaggle","LearningPlatformUsefulnessNewsletters","LearningPlatformUsefulnessCommunities","LearningPlatformUsefulnessDocumentation","LearningPlatformUsefulnessCourses","LearningPlatformUsefulnessProjects","LearningPlatformUsefulnessPodcasts","LearningPlatformUsefulnessSO","LearningPlatformUsefulnessTextbook","LearningPlatformUsefulnessTradeBook","LearningPlatformUsefulnessTutoring","LearningPlatformUsefulnessYouTube","CurrentJobTitleSelect","MLMethodNextYearSelect","WorkChallengeFrequencyPolitics","WorkChallengeFrequencyUnusedResults","WorkChallengeFrequencyUnusefulInstrumenting","WorkChallengeFrequencyDeployment","WorkChallengeFrequencyDirtyData","WorkChallengeFrequencyExplaining","WorkChallengeFrequencyPass","WorkChallengeFrequencyIntegration","WorkChallengeFrequencyTalent","WorkChallengeFrequencyDataFunds","WorkChallengeFrequencyDomainExpertise","WorkChallengeFrequencyML","WorkChallengeFrequencyTools","WorkChallengeFrequencyExpectations","WorkChallengeFrequencyITCoordination","WorkChallengeFrequencyHiringFunds","WorkChallengeFrequencyPrivacy","WorkChallengeFrequencyScaling","WorkChallengeFrequencyEnvironments","WorkChallengeFrequencyClarity","WorkChallengeFrequencyDataAccess","WorkChallengeFrequencyOtherSelect","WorkInternalVsExternalTools"
"5944",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5945",NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,NA,"Very useful",NA,NA,"Very useful",NA,NA,NA,NA,"Software Developer/Software Engineer","Support Vector Machines (SVM)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5946",NA,"Somewhat useful",NA,NA,NA,NA,"Very useful",NA,NA,NA,"Very useful","Very useful",NA,"Somewhat useful","Very useful",NA,NA,"Very useful","Software Developer/Software Engineer","Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Often",NA,NA,"Most of the time",NA,NA,NA,NA,NA,"Entirely internal"
"5947","Very useful","Somewhat useful",NA,NA,NA,NA,"Very useful",NA,NA,"Very useful","Very useful",NA,NA,"Very useful","Very useful",NA,NA,NA,"Data Scientist","Deep learning",NA,NA,NA,NA,"Most of the time",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Often","Most of the time","Often",NA,NA,"Often",NA,NA,"Entirely internal"
"5948",NA,"Somewhat useful","Somewhat useful",NA,NA,NA,"Somewhat useful",NA,NA,"Somewhat useful","Very useful","Very useful",NA,"Somewhat useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5949",NA,"Somewhat useful",NA,NA,NA,NA,"Very useful","Somewhat useful",NA,NA,"Somewhat useful",NA,NA,NA,"Somewhat useful",NA,NA,"Somewhat useful","Data Analyst","Social Network Analysis","Often",NA,NA,NA,"Most of the time",NA,NA,NA,"Most of the time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Often",NA,"More internal than external"
"5950",NA,NA,NA,NA,NA,NA,"Very useful",NA,"Somewhat useful",NA,"Somewhat useful","Somewhat useful",NA,"Somewhat useful",NA,NA,NA,"Very useful","Software Developer/Software Engineer","Neural Nets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5951",NA,NA,"Somewhat useful",NA,NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,"Very useful",NA,NA,NA,"Very useful","Programmer","Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5952",NA,"Very useful",NA,NA,"Somewhat useful",NA,NA,NA,NA,"Somewhat useful","Very useful","Very useful",NA,"Somewhat useful","Somewhat useful",NA,NA,NA,"Business Analyst","Deep learning","Sometimes","Often",NA,NA,NA,NA,NA,"Often",NA,NA,NA,NA,NA,NA,"Most of the time",NA,NA,NA,NA,NA,NA,NA,"More external than internal"
"5953",NA,NA,"Very useful",NA,"Somewhat useful","Very useful",NA,NA,NA,NA,NA,NA,NA,"Somewhat useful","Somewhat useful",NA,NA,NA,"Data Scientist","Deep learning","Most of the time",NA,NA,NA,"Most of the time","Often",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Often",NA,NA,NA,NA,NA,NA,"Entirely internal"
"5954",NA,"Somewhat useful",NA,NA,NA,NA,"Very useful",NA,"Very useful","Very useful","Somewhat useful","Somewhat useful",NA,"Very useful",NA,NA,NA,"Very useful","Data Scientist","Time Series Analysis",NA,"Sometimes",NA,NA,"Sometimes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sometimes",NA,NA,"More internal than external"
"5955","Very useful","Somewhat useful","Somewhat useful",NA,NA,NA,"Somewhat useful",NA,NA,"Very useful",NA,"Very useful",NA,"Somewhat useful","Very useful",NA,NA,"Somewhat useful","Scientist/Researcher","Deep learning",NA,NA,NA,NA,NA,NA,"Sometimes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Entirely internal"
"5956","Somewhat useful","Somewhat useful",NA,NA,NA,NA,"Very useful","Somewhat useful",NA,"Somewhat useful","Somewhat useful","Very useful",NA,"Very useful","Somewhat useful",NA,NA,NA,"Software Developer/Software Engineer","Deep learning","Often","Often",NA,NA,"Often","Most of the time",NA,NA,"Most of the time",NA,"Most of the time",NA,NA,NA,NA,NA,NA,NA,"Often","Most of the time",NA,NA,"Entirely internal"
"5957",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Scientist/Researcher","Bayesian Methods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"More external than internal"
"5958",NA,"Very useful",NA,NA,NA,NA,NA,NA,"Very useful","Somewhat useful","Somewhat useful",NA,"Not Useful","Somewhat useful","Very useful",NA,NA,"Somewhat useful","Business Analyst","Time Series Analysis","Most of the time",NA,NA,NA,NA,NA,NA,NA,"Often",NA,"Sometimes","Most of the time","Often",NA,NA,NA,NA,NA,"Often",NA,NA,NA,"Entirely internal"
"5959","Somewhat useful","Very useful",NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat useful",NA,NA,"Somewhat useful",NA,NA,NA,NA,"Data Scientist","Deep learning",NA,NA,NA,"Sometimes",NA,NA,NA,NA,"Often",NA,"Often",NA,NA,"Often",NA,NA,NA,NA,NA,"Often",NA,NA,"Entirely internal"
"5960",NA,NA,NA,NA,NA,NA,"Somewhat useful",NA,NA,NA,"Somewhat useful",NA,NA,"Not Useful",NA,NA,NA,NA,"Data Analyst","Decision Trees",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5961",NA,NA,NA,NA,NA,NA,"Very useful","Very useful","Somewhat useful",NA,"Somewhat useful","Very useful","Not Useful","Very useful",NA,NA,NA,NA,"Business Analyst","Neural Nets","Most of the time","Most of the time","Often","Often","Sometimes",NA,NA,"Often",NA,NA,NA,NA,"Often",NA,NA,NA,"Sometimes",NA,NA,NA,NA,NA,"Entirely internal"
"5962",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5963","Very useful","Very useful","Very useful",NA,NA,NA,"Somewhat useful",NA,NA,NA,NA,NA,NA,NA,"Somewhat useful",NA,NA,"Somewhat useful",NA,"Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5964","Very useful","Very useful",NA,NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bayesian Methods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5965",NA,"Somewhat useful","Very useful",NA,NA,NA,"Somewhat useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Engineer","Monte Carlo Methods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5966",NA,NA,"Very useful",NA,"Somewhat useful",NA,NA,NA,NA,NA,"Very useful","Somewhat useful",NA,"Very useful",NA,NA,NA,NA,"Scientist/Researcher","Deep learning","Sometimes","Sometimes",NA,NA,"Most of the time",NA,NA,NA,NA,NA,NA,NA,NA,"Often",NA,NA,"Most of the time",NA,NA,NA,"Often",NA,"Entirely internal"
"5967",NA,"Very useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,"Very useful",NA,NA,NA,"Business Analyst","Text Mining",NA,NA,"Sometimes",NA,"Often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Often","Often",NA,"Often",NA,NA,"Entirely internal"
"5968",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5969",NA,NA,NA,NA,"Very useful","Somewhat useful",NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,NA,"Very useful",NA,"Data Scientist","Random Forests","Most of the time",NA,NA,NA,"Most of the time",NA,NA,NA,"Most of the time",NA,NA,NA,NA,NA,"Most of the time",NA,NA,NA,NA,NA,"Most of the time",NA,"Entirely internal"
"5970",NA,"Very useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,"Very useful","Data Scientist","Deep learning",NA,NA,NA,NA,"Most of the time",NA,NA,NA,"Often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Often",NA,"Entirely internal"
"5971",NA,"Very useful",NA,NA,NA,"Very useful","Very useful",NA,NA,NA,"Very useful","Very useful",NA,"Somewhat useful","Somewhat useful",NA,"Very useful",NA,"Scientist/Researcher","Deep learning",NA,NA,NA,NA,"Often",NA,NA,NA,"Often",NA,"Often",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Often",NA,"Do not know"
"5972","Somewhat useful","Somewhat useful",NA,NA,"Not Useful",NA,"Very useful",NA,NA,NA,"Very useful",NA,NA,"Very useful",NA,NA,NA,NA,"Statistician","Monte Carlo Methods","Most of the time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Often",NA,"Approximately half internal and half external"
"5973",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5974",NA,"Somewhat useful","Somewhat useful",NA,"Somewhat useful",NA,"Somewhat useful",NA,NA,NA,"Very useful",NA,NA,"Very useful",NA,NA,"Very useful","Very useful","Business Analyst","Deep learning",NA,NA,NA,NA,"Often","Often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Most of the time","Often","Sometimes","Often",NA,NA,"Approximately half internal and half external"
"5975",NA,NA,NA,NA,"Somewhat useful",NA,NA,NA,"Somewhat useful",NA,"Very useful",NA,NA,NA,"Very useful",NA,NA,"Very useful",NA,"Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5976",NA,"Somewhat useful",NA,NA,NA,NA,"Very useful",NA,NA,NA,"Somewhat useful",NA,NA,"Somewhat useful",NA,NA,NA,NA,"Data Scientist","Text Mining",NA,NA,NA,NA,NA,NA,NA,NA,"Sometimes",NA,NA,NA,NA,NA,NA,NA,"Sometimes",NA,NA,NA,NA,NA,"More internal than external"
"5977","Very useful","Very useful",NA,NA,NA,NA,NA,NA,NA,"Somewhat useful",NA,"Somewhat useful",NA,"Very useful",NA,NA,NA,NA,"Researcher","Deep learning",NA,NA,NA,NA,"Most of the time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Often",NA,NA,NA,NA,NA,"More internal than external"
"5978","Somewhat useful",NA,"Somewhat useful",NA,NA,NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,"Somewhat useful",NA,NA,NA,"Researcher","Time Series Analysis",NA,NA,NA,NA,NA,NA,NA,NA,"Most of the time",NA,NA,NA,NA,"Often",NA,NA,NA,NA,NA,NA,"Often",NA,"More internal than external"
"5979",NA,"Very useful",NA,NA,NA,"Somewhat useful","Very useful",NA,"Very useful","Very useful","Somewhat useful","Very useful",NA,"Very useful",NA,NA,NA,"Somewhat useful","Data Miner","Neural Nets","Most of the time","Most of the time",NA,NA,"Often",NA,NA,"Most of the time","Often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Often","Sometimes",NA,"More internal than external"
"5980",NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,"Somewhat useful",NA,NA,"Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5981",NA,"Somewhat useful","Very useful",NA,NA,"Somewhat useful","Not Useful",NA,"Somewhat useful","Somewhat useful","Somewhat useful","Very useful",NA,"Somewhat useful","Somewhat useful",NA,NA,NA,"Software Developer/Software Engineer","Factor Analysis",NA,NA,NA,NA,NA,NA,"Sometimes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"More external than internal"
"5982",NA,"Somewhat useful","Somewhat useful",NA,NA,NA,"Very useful","Very useful",NA,"Somewhat useful",NA,"Very useful",NA,"Very useful",NA,NA,NA,"Somewhat useful","Researcher","Time Series Analysis","Often",NA,NA,NA,"Sometimes","Sometimes",NA,"Often","Most of the time","Often","Most of the time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"More internal than external"
"5983",NA,"Very useful",NA,"Somewhat useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat useful",NA,NA,"Somewhat useful","Very useful","Data Analyst","Deep learning",NA,"Often","Sometimes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Often",NA,NA,NA,NA,"Entirely external"
"5984",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat useful",NA,NA,NA,NA,NA,NA,NA,NA,"Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5985",NA,NA,NA,NA,NA,NA,"Very useful","Somewhat useful",NA,NA,NA,"Somewhat useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5986",NA,"Somewhat useful",NA,NA,NA,NA,"Somewhat useful",NA,NA,NA,"Somewhat useful","Not Useful",NA,"Somewhat useful",NA,NA,NA,"Somewhat useful","Software Developer/Software Engineer","Monte Carlo Methods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5987",NA,"Very useful",NA,NA,NA,NA,"Very useful",NA,NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,"Data Analyst","Random Forests",NA,"Sometimes","Sometimes",NA,NA,NA,NA,"Rarely","Sometimes",NA,"Often","Most of the time",NA,"Often",NA,NA,NA,"Often","Often","Sometimes",NA,NA,"More external than internal"
"5988",NA,NA,NA,NA,NA,NA,"Somewhat useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Business Analyst","Bayesian Methods","Sometimes",NA,"Often",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Often","Often","Most of the time",NA,NA,NA,NA,"Often",NA,NA,"More internal than external"
"5989",NA,NA,NA,NA,NA,NA,"Somewhat useful",NA,NA,NA,"Very useful",NA,NA,"Somewhat useful",NA,NA,NA,"Somewhat useful","Software Developer/Software Engineer","Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5990",NA,"Very useful",NA,NA,NA,NA,"Very useful",NA,NA,NA,NA,"Very useful","Somewhat useful",NA,NA,NA,NA,NA,"Other","Genetic & Evolutionary Algorithms","Most of the time","Sometimes","Sometimes","Sometimes",NA,NA,NA,NA,"Most of the time","Most of the time","Most of the time","Sometimes","Often",NA,NA,"Sometimes","Often","Sometimes",NA,"Often","Most of the time",NA,"Approximately half internal and half external"
"5991","Very useful",NA,NA,NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Machine Learning Engineer","Ensemble Methods (e.g. boosting, bagging)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Often",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sometimes",NA,NA,"More external than internal"
"5992",NA,NA,NA,NA,NA,NA,"Somewhat useful",NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,NA,"Very useful","Business Analyst","Ensemble Methods (e.g. boosting, bagging)",NA,NA,NA,NA,NA,NA,"Rarely",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Do not know"
"5993",NA,NA,"Somewhat useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Regression",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5994",NA,"Very useful","Very useful",NA,NA,NA,"Very useful","Somewhat useful",NA,"Very useful","Very useful","Very useful",NA,NA,"Very useful",NA,NA,NA,NA,"Neural Nets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5995",NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Time Series Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5996","Somewhat useful","Very useful","Very useful","Very useful","Somewhat useful","Somewhat useful","Very useful","Somewhat useful",NA,"Very useful",NA,"Very useful","Somewhat useful","Very useful","Very useful","Somewhat useful","Very useful","Very useful","Business Analyst","Deep learning",NA,NA,NA,NA,"Often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Often",NA,"Often",NA,NA,NA,"More internal than external"
"5997",NA,NA,"Somewhat useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other","Ensemble Methods (e.g. boosting, bagging)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5998",NA,"Very useful",NA,NA,NA,NA,"Very useful",NA,NA,"Very useful",NA,NA,NA,"Very useful","Very useful",NA,NA,"Somewhat useful","Researcher","Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Often",NA,NA,NA,"Sometimes",NA,NA,"Most of the time",NA,"Often",NA,NA,"Do not know"
"5999","Very useful","Very useful",NA,NA,"Not Useful",NA,NA,"Very useful",NA,"Somewhat useful",NA,NA,NA,NA,"Somewhat useful",NA,NA,NA,"Data Scientist","Deep learning","Often","Sometimes","Sometimes",NA,"Often",NA,NA,"Sometimes","Sometimes","Often","Sometimes",NA,NA,"Sometimes","Most of the time",NA,"Sometimes",NA,"Most of the time","Sometimes","Often",NA,"More internal than external"
"6000",NA,NA,"Somewhat useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6001","Very useful","Very useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very useful","Very useful","Very useful",NA,NA,NA,"Very useful","Data Scientist","Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sometimes","Entirely internal"
"6002","Very useful",NA,NA,NA,"Somewhat useful",NA,NA,NA,NA,NA,"Very useful","Very useful",NA,"Somewhat useful",NA,NA,NA,NA,"Machine Learning Engineer","Genetic & Evolutionary Algorithms","Often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sometimes",NA,"Most of the time",NA,NA,NA,"Often",NA,NA,NA,"More internal than external"
"6003",NA,NA,NA,NA,NA,NA,"Very useful","Very useful",NA,NA,"Very useful",NA,NA,"Very useful",NA,NA,NA,"Somewhat useful",NA,"Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6004","Somewhat useful",NA,"Very useful",NA,"Somewhat useful",NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat useful","Very useful",NA,NA,NA,"Scientist/Researcher","Ensemble Methods (e.g. boosting, bagging)",NA,NA,NA,NA,"Often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Often",NA,"Approximately half internal and half external"
"6005",NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,NA,"Data Scientist","Deep learning",NA,NA,NA,NA,"Often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Often","Often",NA,"More internal than external"
"6006","Somewhat useful","Very useful",NA,"Somewhat useful",NA,NA,"Somewhat useful","Very useful",NA,NA,"Very useful",NA,NA,"Somewhat useful",NA,NA,NA,"Somewhat useful","Data Scientist","Neural Nets",NA,NA,NA,"Sometimes","Sometimes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sometimes",NA,"Sometimes",NA,NA,NA,NA,NA,"Approximately half internal and half external"
"6007",NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,NA,"Very useful","Somewhat useful",NA,"Somewhat useful",NA,NA,"Very useful","Somewhat useful","Machine Learning Engineer","Neural Nets","Often",NA,NA,NA,NA,NA,NA,"Often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Entirely internal"
"6008",NA,NA,NA,NA,NA,NA,"Somewhat useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Business Analyst","Social Network Analysis",NA,NA,NA,NA,"Sometimes",NA,NA,NA,"Often",NA,NA,NA,"Often",NA,NA,NA,NA,NA,NA,NA,NA,NA,"More internal than external"
"6009",NA,"Somewhat useful",NA,NA,NA,NA,"Somewhat useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other","Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6010",NA,"Very useful",NA,NA,NA,NA,"Somewhat useful",NA,NA,NA,"Very useful","Very useful",NA,"Very useful",NA,NA,NA,"Somewhat useful",NA,"Bayesian Methods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6011",NA,"Somewhat useful",NA,NA,NA,NA,"Very useful",NA,NA,"Very useful","Somewhat useful",NA,NA,NA,NA,NA,NA,NA,"Machine Learning Engineer","Deep learning","Most of the time",NA,NA,"Most of the time",NA,"Sometimes",NA,NA,"Most of the time",NA,NA,NA,NA,"Sometimes",NA,"Most of the time",NA,NA,NA,NA,NA,NA,"Entirely internal"
"6012",NA,"Somewhat useful",NA,"Somewhat useful",NA,NA,"Very useful",NA,"Very useful","Very useful","Very useful",NA,NA,"Very useful",NA,NA,NA,"Somewhat useful","Data Analyst","Deep learning",NA,NA,NA,NA,"Often",NA,NA,NA,NA,"Sometimes",NA,NA,NA,"Sometimes",NA,"Often",NA,"Often","Sometimes",NA,NA,NA,"More external than internal"
"6013","Very useful","Somewhat useful","Somewhat useful",NA,"Somewhat useful",NA,"Very useful",NA,NA,NA,"Very useful","Very useful",NA,"Somewhat useful",NA,NA,NA,"Somewhat useful",NA,"Ensemble Methods (e.g. boosting, bagging)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6014",NA,"Very useful","Somewhat useful",NA,NA,NA,"Somewhat useful",NA,NA,NA,NA,"Very useful",NA,"Somewhat useful","Very useful",NA,NA,"Somewhat useful",NA,"Regression",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6015",NA,NA,"Very useful",NA,NA,NA,"Somewhat useful",NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,"Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6016",NA,"Somewhat useful","Very useful",NA,NA,NA,"Somewhat useful",NA,NA,NA,"Very useful","Somewhat useful",NA,"Very useful",NA,NA,NA,"Very useful",NA,"Social Network Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6017",NA,NA,NA,NA,NA,NA,"Very useful","Somewhat useful",NA,NA,NA,"Somewhat useful",NA,NA,"Somewhat useful",NA,NA,"Very useful","Other","Anomaly Detection",NA,"Most of the time",NA,NA,NA,NA,NA,NA,"Most of the time",NA,NA,"Most of the time","Often",NA,NA,NA,"Most of the time",NA,NA,NA,NA,NA,"More internal than external"
"6018",NA,NA,NA,NA,"Somewhat useful",NA,"Somewhat useful",NA,NA,NA,"Somewhat useful",NA,NA,NA,"Somewhat useful",NA,"Somewhat useful","Somewhat useful","Programmer","Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6019",NA,NA,NA,NA,NA,NA,"Somewhat useful",NA,NA,NA,"Somewhat useful","Very useful",NA,NA,NA,NA,NA,NA,"Data Analyst","Other","Most of the time","Most of the time",NA,NA,NA,NA,NA,"Most of the time","Often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Entirely internal"
"6020","Very useful","Somewhat useful","Very useful",NA,"Very useful","Not Useful",NA,NA,NA,"Very useful",NA,NA,NA,"Somewhat useful","Somewhat useful",NA,"Not Useful","Not Useful","Scientist/Researcher","Other",NA,NA,NA,NA,"Sometimes",NA,NA,NA,"Sometimes",NA,"Sometimes",NA,NA,NA,NA,NA,NA,NA,NA,"Sometimes","Sometimes",NA,"Entirely internal"
